	Lumberjack Read Data List          Thu   20-MAY-21 22:46:47

	Engineering units
	X = TIME  Lumberjack format

	T1 = 20-MAY-2021 13:00:18.000	T2 = 20-MAY-2021 13:15:18.000

	 Trace 1				 Trace 2
       13500 points			        13500 points
    N:ISRCNT08 cnt    NML3  		     N;ISRCNT10 cnt    NML3  

       Time    	    Y1  	        Time    	    Y2
Thu May 20 13:00:38.940	225789828   	Thu May 20 13:00:38.940	2033721867  
Thu May 20 13:00:39.007	225789828   	Thu May 20 13:00:39.007	2033721867  
Thu May 20 13:00:39.073	225789828   	Thu May 20 13:00:39.073	2033721867  
Thu May 20 13:00:39.140	225789828   	Thu May 20 13:00:39.140	2033721867  
Thu May 20 13:00:39.206	225789828   	Thu May 20 13:00:39.206	2033721867  
Thu May 20 13:00:39.273	225789828   	Thu May 20 13:00:39.273	2033721867  
Thu May 20 13:00:39.340	225789828   	Thu May 20 13:00:39.340	2033721867  
Thu May 20 13:00:39.407	225789828   	Thu May 20 13:00:39.407	2033721867  
Thu May 20 13:00:39.473	225789828   	Thu May 20 13:00:39.473	2033721867  
Thu May 20 13:00:39.540	225789828   	Thu May 20 13:00:39.540	2033721867  
Thu May 20 13:00:39.607	225789828   	Thu May 20 13:00:39.607	2033721867  
Thu May 20 13:00:39.673	225789828   	Thu May 20 13:00:39.673	2033721867  
Thu May 20 13:00:39.740	225789828   	Thu May 20 13:00:39.740	2033721867  
